"","MSFT.Adjusted","AAPL.Adjusted","AMZN.Adjusted","GOOG.Adjusted","BRK.B.Adjusted","JPM.Adjusted","JNJ.Adjusted","WMT.Adjusted","XOM.Adjusted","V.Adjusted","PG.Adjusted","BAC.Adjusted","MA.Adjusted","T.Adjusted","HD.Adjusted","VZ.Adjusted","DIS.Adjusted","CVX.Adjusted","INTC.Adjusted","KO.Adjusted","UNH.Adjusted","WFC.Adjusted","BA.Adjusted","CSCO.Adjusted","CMCSA.Adjusted","MRK.Adjusted","PFE.Adjusted","PEP.Adjusted","ORCL.Adjusted","C.Adjusted"
"316",18.585894,17.704067,83.660004,210.007843,57.919998,26.561552,41.645092,37.565422,50.002796,12.690866,36.725857,11.911999,15.78536,13.899319,18.461849,17.327492,20.209808,45.227051,11.968904,15.999565,21.479589,18.613735,32.45892,14.543365,5.943664,19.433352,10.177893,40.28001,18.782089,27.408934
"317",18.797007,17.753786,81.599998,208.712692,58.48,26.335394,41.843048,37.511143,50.467701,12.393264,37.372692,11.776634,15.646671,14.028012,18.524361,17.378233,20.313759,45.411362,12.323273,16.396301,21.634357,18.521667,32.252705,14.660338,5.947776,19.495907,10.110044,41.423332,19.062685,27.408934
"318",18.273136,17.404507,79.32,203.4823,57.860001,25.165625,41.043877,37.061356,48.987144,12.246504,36.733047,11.406642,15.688189,13.759426,17.821203,17.017368,19.785343,43.977753,12.091847,16.296286,20.559513,17.708366,31.18346,14.426397,5.709371,18.77306,9.82506,41.298729,18.448891,26.578363
"319",18.140213,17.22924,78.099998,204.040207,57.099998,25.422974,41.513119,37.014816,48.708191,12.366765,37.494881,10.964454,15.738193,13.876933,17.875883,17.118864,20.001905,43.786613,11.961673,16.336287,20.714302,17.723715,30.977262,14.449793,5.74159,19.384693,9.886129,41.870403,18.124458,25.747791
"320",17.616333,16.83024,75.629997,197.574448,56.200001,25.586744,41.22718,37.100124,47.606724,12.171083,37.308018,10.964454,15.19003,13.613942,17.500874,16.712879,19.516802,42.803555,11.751945,16.216274,21.642958,17.900183,29.816372,14.223651,5.493751,19.197039,9.899699,41.042225,17.694799,24.824928
"321",17.63979,17.056465,77.360001,200.4935,56.220001,25.508764,41.850384,37.511143,47.392139,12.126242,37.832672,10.684704,15.175864,13.397672,17.704002,16.40933,19.265587,42.85817,11.527754,16.172922,21.213026,17.577936,30.205898,14.137871,5.576364,19.488953,9.913268,40.199402,18.036774,24.178932
"322",17.545967,16.949566,78.099998,204.428757,55.419998,26.218414,41.564442,37.28624,47.184734,12.319885,37.667358,10.802018,15.37418,13.306607,17.719635,16.403601,19.516802,43.062973,11.585611,16.239607,21.445194,17.861818,30.014944,14.16906,5.530925,18.77306,9.696139,40.074799,17.81756,24.824928
"323",17.506865,17.218056,77.629997,206.42627,54.900002,25.220217,41.740406,36.890736,46.576775,12.201658,37.530819,10.7208,15.162645,13.340755,17.594625,16.392141,19.412849,41.916096,11.600075,16.106249,21.213026,17.547241,30.282261,14.301634,5.477229,18.383835,9.635074,40.096783,17.966619,23.902069
"324",18.163664,17.692877,81.470001,211.357773,56.560001,27.068453,42.31963,37.092365,46.991596,12.301538,38.077015,11.72249,15.631046,13.528572,18.055588,16.63843,19.664066,42.626072,11.925511,16.352961,21.505383,19.028049,30.885605,14.480984,5.584625,18.641006,10.015049,40.800365,18.212738,25.655506
"325",18.069836,17.684185,81.949997,211.552048,57.400002,27.060656,42.69355,37.32502,47.363537,12.289306,38.4795,11.650297,15.669765,13.346445,18.500919,16.581148,20.019232,43.008373,12.171399,16.432976,21.299011,18.721149,30.862698,14.605756,5.601147,18.877323,10.110044,41.108189,18.133631,26.947512
"326",18.85956,18.257206,84.550003,218.266876,58.799999,28.277206,43.228779,37.650726,48.951393,12.770365,39.277279,12.110533,16.277927,13.642399,18.813429,16.804525,20.859505,44.080158,13.053699,16.846382,21.419394,19.41168,31.588245,15.447943,5.824202,19.259592,10.191464,41.980331,18.907145,29.254656
"327",19.109766,18.336761,86.110001,220.473618,58.459999,28.175838,43.441418,37.619705,48.965691,13.129117,39.679745,11.884929,16.835108,13.494425,19.063444,16.896164,21.474548,44.298611,13.379136,16.933067,21.711748,19.219868,32.115231,15.689686,5.848985,19.3708,10.225391,41.965672,19.021416,27.962652
"328",18.992485,18.862543,85.849998,214.321671,59.02,28.768511,43.426731,37.604206,49.008614,13.065926,40.190029,11.632248,16.98337,13.648096,19.274397,16.947712,21.231995,44.455639,13.588867,16.776367,21.574171,19.181507,31.588245,15.993806,5.844854,19.238739,10.15075,41.52594,19.109318,27.870369
"329",19.180145,19.006737,88.230003,214.281815,59.470001,28.838697,43.302097,37.860119,49.30901,13.681518,39.931297,11.045671,17.13258,13.898517,19.375957,17.0508,21.976974,44.810616,13.668418,17.013079,21.359203,19.580484,32.229786,16.492887,5.989426,19.419453,10.354308,41.100842,18.907145,25.747791
"330",19.414711,18.832714,89.010002,213.151062,59.5,28.807503,43.617371,37.891129,50.403328,13.68763,39.880981,11.000552,17.087248,13.98389,19.110331,17.365816,21.829716,45.227051,13.668418,16.786367,22.004107,19.450047,32.856056,16.835995,5.910945,20.607969,10.652863,41.335388,19.276327,24.45579
"331",19.391258,19.482805,88.790001,213.046448,60.029999,28.72172,43.397411,38.131554,50.060013,13.626479,39.75058,11.036645,17.138248,14.137558,19.352524,17.256996,21.985638,45.015423,13.841989,16.379629,22.356659,18.75952,32.077042,16.72683,5.844854,20.46896,10.768211,40.961601,19.118107,25.840084
"332",19.985506,19.617048,93.870003,217.853439,61.34,29.75112,44.152584,37.813587,51.218712,13.695783,39.960686,11.451762,17.552826,14.501812,19.750982,17.909933,23.215727,46.346619,14.08787,16.396301,23.25952,18.613735,32.038853,17.077736,5.985296,21.024994,10.958199,41.408684,19.513655,25.563219
